Date,Target_Name,Target_Industry_Macro,Target_Industry_Mid,Target_Nation,Buyer_Name,Buyer_Industry_Macro,Buyer_Industry_Mid,Buyer_Nation,Target_Revenues,Target_EBITDA,Target_EV,Target_Industry_Detailed,Target_Status,Year,EV_Rev,EV_EBITDA,Target_Revenues_v2,Target_EBITDA_v2,Target_EV_v2
10/03/2016,1st Century Bancshares Inc,Financials,Banks,United States,Midland Financial Co,Financials,Asset Management,United States,20.97,7.28,161.94,"Commercial Banks, Bank Holding Companies",Public,2016,7.72,22.23,20.97,7.28,161.94
12/07/2021,1st Constitution Bancorp,Financials,Banks,United States,Lakeland Bancorp Inc,Financials,Banks,United States,59.20,26.80,220.82,"Commercial Banks, Bank Holding Companies",Public,2021,3.73,8.24,59.20,26.80,220.82
27/01/2016,1st Constitution Bancorp,Financials,Banks,United States,1st Constitution Bancorp,Financials,Banks,United States,35.15,15.34,152.54,"Commercial Banks, Bank Holding Companies",Public,2016,4.34,9.95,35.15,15.34,152.54
24/07/2014,1st Source Corp,Financials,Banks,United States,1st Source Corp,Financials,Banks,United States,160.58,78.16,859.03,"Commercial Banks, Bank Holding Companies",Public,2014,5.35,10.99,160.58,78.16,859.03
08/05/2014,"1st United Bancorp Inc,Boca Raton,Florida",Financials,Banks,United States,Valley National Bancorp,Financials,Banks,United States,13.25,3.84,262.71,"Commercial Banks, Bank Holding Companies",Public,2014,19.83,68.35,13.25,3.84,262.71
09/08/2023,1stdibs.com Inc,High Technology,E-commerce / B2B,United States,1stdibs.com Inc,High Technology,E-commerce / B2B,United States,81.38,-31.66,"14,425,195.75",Business Services,Public,2023,177258.47,-455576.59,81.38,-31.66,"14,425,195.75"
13/06/2018,21st Century Fox Inc,Media and Entertainment,Cable,United States,Comcast Corp,Media and Entertainment,Cable,United States,"23,704.99","5,168.40","65,709.15",Radio and Television Broadcasting Stations,Public,2018,2.77,12.71,"23,704.99","5,168.40","65,709.15"
14/12/2017,21st Century Fox Inc,Media and Entertainment,Cable,United States,Walt Disney Co,Media and Entertainment,Cable,United States,"23,704.99","5,168.40","70,494.84",Radio and Television Broadcasting Stations,Public,2017,2.97,13.64,"23,704.99","5,168.40","70,494.84"
01/12/2020,24Rental Sverige AB,Consumer Products and Services,Professional Services,Sweden,Brenderup Group AB,Industrials,Automobiles & Components,Sweden,0.39,-0.01,0.85,Repair Services,Private,2020,2.18,-65.01,0.39,-0.01,0.85
30/08/2022,24SevenOffice Group AB,High Technology,Software,Sweden,R-venture AS,Financials,Other Financials,Norway,21.98,-5.67,8.80,Prepackaged Software,Public,2022,0.40,-1.55,21.98,-5.67,8.80
22/11/2021,24Storage AB,Industrials,Other Industrials,Sweden,Shurgard Sweden AB,Financials,Other Financials,Sweden,9.87,0.97,200.32,Transportation and Shipping (except air),Public,2021,20.30,207.34,9.87,0.97,200.32
08/11/2021,24Storage AB,Industrials,Other Industrials,Sweden,T-C Storage Bidco AB,Financials,Other Financials,Sweden,9.87,0.97,209.86,Transportation and Shipping (except air),Public,2021,21.27,217.21,9.87,0.97,209.86
07/11/2016,25hours Hotel Co GmbH,Media and Entertainment,Hotels and Lodging,Germany,Accor SA,Media and Entertainment,Hotels and Lodging,France,54.81,5.60,108.96,Hotels and Casinos,Private,2016,1.99,19.45,54.81,5.60,108.96
23/02/2017,32Red PLC,Media and Entertainment,Casinos & Gaming,Gibraltar,Kindred Group PLC,Media and Entertainment,Casinos & Gaming,Sweden,73.10,11.52,190.57,Amusement and Recreation Services,Public,2017,2.61,16.55,73.10,11.52,190.57
12/05/2014,360 Vox Corp,Real Estate,Other Real Estate,Canada,Dundee Corp,Financials,Asset Management,Canada,51.41,-0.78,43.03,Real Estate; Mortgage Bankers and Brokers,Public,2014,0.84,-54.97,51.41,-0.78,43.03
02/02/2016,3M Co,Healthcare,Healthcare Equipment & Supplies,United States,3M Co,Healthcare,Healthcare Equipment & Supplies,United States,"27,876.60","7,824.12","135,044.11","Measuring, Medical, Photo Equipment; Clocks",Public,2016,4.84,17.26,"27,876.60","7,824.12","135,044.11"
29/10/2014,3PEA International Inc,High Technology,E-commerce / B2B,United States,3PEA International Inc,High Technology,E-commerce / B2B,United States,8.51,2.42,7.01,Business Services,Public,2014,0.82,2.90,8.51,2.42,7.01
25/10/2019,3sun Group Ltd,Energy and Power,Oil & Gas,United Kingdom,Worley Ltd,Industrials,Building/Construction & Engineering,Australia,20.34,-0.35,25.48,Oil and Gas; Petroleum Refining,Private,2019,1.25,-73.84,20.34,-0.35,25.48
09/11/2017,3TL Technologies Corp,High Technology,Internet Software & Services,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,0.66,-1.24,0.80,Prepackaged Software,Public,2017,1.20,-0.64,0.66,-1.24,0.80
22/09/2023,3U Holding AG,Telecommunications,Telecommunications Services,Germany,3U Holding AG,Telecommunications,Telecommunications Services,Germany,50.51,4.21,40.45,Telecommunications,Public,2023,0.80,9.61,50.51,4.21,40.45
08/10/2020,48North Cannabis Corp,Healthcare,Pharmaceuticals,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,4.02,-2.22,16.10,Drugs,Public,2020,4.01,-7.27,4.02,-2.22,16.10
17/05/2021,48North Cannabis Corp,Healthcare,Pharmaceuticals,Canada,HEXO Corp,Healthcare,Pharmaceuticals,Canada,10.38,-8.68,32.22,Drugs,Public,2021,3.10,-3.71,10.38,-8.68,32.22
13/08/2020,4A Games Ltd,High Technology,Software,Malta,Saber Interactive Inc,High Technology,Software,United States,1.20,0.50,37.44,Prepackaged Software,Private,2020,31.33,74.73,1.20,0.50,37.44
02/10/2019,4MASS SA,Consumer Products and Services,Other Consumer Products,Poland,Arkadiusz Laszkiewicz,Financials,Other Financials,Poland,2.32,0.20,1.89,"Soaps, Cosmetics and Personal-Care Products",Public,2019,0.81,9.68,2.32,0.20,1.89
24/04/2019,4Mobility SA,High Technology,Internet Software & Services,Poland,PGE Nowa Energia Sp z o o,Energy and Power,Other Energy & Power,Poland,1.00,-0.67,3.28,Prepackaged Software,Public,2019,3.27,-4.87,1.00,-0.67,3.28
19/03/2019,4side Srl,High Technology,Computers & Peripherals,Italy,Esprinet SpA,High Technology,Computers & Peripherals,Italy,16.32,1.33,0.56,Wholesale Trade-Durable Goods,Private,2019,0.03,0.42,16.32,1.33,0.56
17/10/2014,580 Ltd,Retail,Food & Beverage Retailing,United Kingdom,Young & Co's Brewery PLC,Retail,Food & Beverage Retailing,United Kingdom,8.03,1.10,16.86,Retail Trade-Eating and Drinking Places,Private,2014,2.10,15.40,8.03,1.10,16.86
27/02/2019,5n Plus Inc,Materials,Metals & Mining,Canada,5n Plus Inc,Materials,Metals & Mining,Canada,181.12,24.32,211.34,Electronic and Electrical Equipment,Public,2019,1.17,8.69,181.12,24.32,211.34
30/04/2020,5th Avenue Holding SA,Real Estate,REITs,Poland,Investor Group,Financials,Other Financials,Poland,0.34,-0.93,8.21,Investment & Commodity Firms/Dealers/Exchanges,Public,2020,23.88,-8.87,0.34,-0.93,8.21
23/01/2015,5th Avenue Holding SA,Real Estate,REITs,Poland,Real Corp Sp z o o,Real Estate,Other Real Estate,Poland,0.84,0.23,0.64,Investment & Commodity Firms/Dealers/Exchanges,Public,2015,0.75,2.79,0.84,0.23,0.64
14/12/2016,6PM Holdings PLC,High Technology,IT Consulting & Services,Malta,Idox PLC,High Technology,Software,United Kingdom,15.66,3.82,25.49,Business Services,Public,2016,1.63,6.68,15.66,3.82,25.49
17/02/2020,6Sicuro SpA,Financials,Insurance,Italy,Assiteca SpA Internazionale Di Brokeraggio Assicurativo,Financials,Insurance,Italy,3.77,0.63,11.02,Insurance,Private,2020,2.92,17.57,3.77,0.63,11.02
08/02/2023,7digital Group PLC,Media and Entertainment,Broadcasting,United Kingdom,Songtradr Inc,Media and Entertainment,Motion Pictures / Audio Visual,United States,8.60,-1.80,23.76,Radio and Television Broadcasting Stations,Public,2023,2.76,-13.16,8.60,-1.80,23.76
12/04/2023,7R SA,Industrials,Building/Construction & Engineering,Poland,NREP Nordic Strategies Fund V LP,Financials,Other Financials,Luxembourg,83.96,-4.16,252.24,Construction Firms,Private,2023,3.00,-60.63,83.96,-4.16,252.24
29/07/2016,8 Ball Games Ltd,High Technology,Software,United Kingdom,Stride Gaming PLC,High Technology,Software,United Kingdom,13.83,2.53,35.27,Prepackaged Software,Private,2016,2.55,13.96,13.83,2.53,35.27
10/10/2014,808 Renewable Energy Corp,Energy and Power,Oil & Gas,United States,808 Renewable Energy Corp,Energy and Power,Oil & Gas,United States,0.26,-1.38,17.57,"Electric, Gas, and Water Distribution",Public,2014,67.27,-12.70,0.26,-1.38,17.57
05/02/2018,8point3 Energy Partners LP,Energy and Power,Power,United States,CD Clean Energy & Infrastructure V JV LLC,Energy and Power,Power,United States,58.89,43.97,"1,338.47","Electric, Gas, and Water Distribution",Public,2018,22.73,30.44,58.89,43.97,"1,338.47"
22/07/2014,8x8 Inc,Telecommunications,Telecommunications Services,United States,8x8 Inc,Telecommunications,Telecommunications Services,United States,99.71,3.75,356.83,Telecommunications,Public,2014,3.58,95.08,99.71,3.75,356.83
04/08/2022,8x8 Inc,Telecommunications,Telecommunications Services,United States,8x8 Inc,Telecommunications,Telecommunications Services,United States,787.78,-65.29,"1,001.48",Telecommunications,Public,2022,1.27,-15.34,787.78,-65.29,"1,001.48"
16/03/2018,9374-8572 Quebec Inc,High Technology,IT Consulting & Services,Canada,Edgewater Technology Inc,High Technology,IT Consulting & Services,United States,91.35,-0.07,92.65,Business Services,Private,2018,1.01,-1397.78,91.35,-0.07,92.65
15/02/2018,A Schulman Inc,Materials,Chemicals,United States,LyondellBasell Industries NV,Materials,Chemicals,United States,"2,130.51",151.22,"2,404.39",Chemicals and Allied Products,Public,2018,1.13,15.90,"2,130.51",151.22,"2,404.39"
28/08/2020,A-Data Infosystem AB,High Technology,IT Consulting & Services,Sweden,SpectrumOne AB,High Technology,Software,Sweden,0.79,0.19,0.65,Business Services,Private,2020,0.82,3.43,0.79,0.19,0.65
11/05/2018,A-Mark Precious Metals Inc,Financials,Brokerage,United States,A-Mark Precious Metals Inc,Financials,Brokerage,United States,"7,617.83",188.33,871.24,Investment & Commodity Firms/Dealers/Exchanges,Public,2018,0.11,4.63,"7,617.83",188.33,871.24
08/05/2018,A-Mark Precious Metals Inc,Financials,Brokerage,United States,A-Mark Precious Metals Inc,Financials,Brokerage,United States,"5,816.28",5.43,545.45,Investment & Commodity Firms/Dealers/Exchanges,Public,2018,0.09,100.41,"5,816.28",5.43,545.45
10/11/2014,A/S Norresundby Bank,Financials,Banks,Denmark,Spar Nord Bank A/S,Financials,Banks,Denmark,58.02,19.82,255.02,"Commercial Banks, Bank Holding Companies",Public,2014,4.40,12.87,58.02,19.82,255.02
09/10/2014,A/S Norresundby Bank,Financials,Banks,Denmark,Nordjyske Bank A/S,Financials,Banks,Denmark,58.02,19.82,266.86,"Commercial Banks, Bank Holding Companies",Public,2014,4.60,13.46,58.02,19.82,266.86
23/05/2019,A&J Mucklow Group PLC,Real Estate,REITs,United Kingdom,LondonMetric Property PLC,Real Estate,REITs,United Kingdom,28.48,21.47,549.86,Investment & Commodity Firms/Dealers/Exchanges,Public,2019,19.31,25.61,28.48,21.47,549.86
26/09/2017,A&P (Andreou & Paraskevaides) Enterprises Plc Ltd,Consumer Staples,Food and Beverage,Cyprus,A&P (Andreou & Paraskevaides) Investments Ltd,Financials,Other Financials,Cyprus,23.96,-1.13,11.15,Food and Kindred Products,Public,2017,0.47,-9.88,23.96,-1.13,11.15
26/10/2017,A10 Networks Inc,High Technology,Software,United States,A10 Networks Inc,High Technology,Software,United States,202.67,-4.48,341.94,Prepackaged Software,Public,2017,1.69,-76.32,202.67,-4.48,341.94
11/01/2017,A2micile Europe SA,Consumer Products and Services,Professional Services,France,VLC Holding SAS,Financials,Other Financials,France,82.64,2.84,26.94,Social Services,Public,2017,0.33,9.49,82.64,2.84,26.94
29/12/2020,A2z Smart Technologies Corp,Industrials,Aerospace & Defense,Canada,Clal Insurance Co Ltd,Financials,Insurance,Israel,1.77,-1.30,20.57,Transportation Equipment,Public,2020,11.60,-15.79,1.77,-1.30,20.57
14/09/2020,A3 Allmanna IT- och Telekomaktiebolaget,Telecommunications,Telecommunications Services,Sweden,Bredband2 i Skandinavien AB,High Technology,Internet Software & Services,Sweden,75.41,6.75,65.69,Telecommunications,Public,2020,0.87,9.74,75.41,6.75,65.69
10/08/2015,A4 Holding SpA,Industrials,Transportation & Infrastructure,Italy,Abertis Infraestructuras SA,Industrials,Transportation & Infrastructure,Spain,8.94,-0.08,"1,136.16",Transportation and Shipping (except air),Private,2015,127.03,-13688.70,8.94,-0.08,"1,136.16"
25/11/2020,AA PLC,Industrials,Automobiles & Components,United Kingdom,Basing Bidco Ltd,Financials,Other Financials,United Kingdom,"1,091.59",394.62,"3,214.40",Repair Services,Public,2020,2.94,8.15,"1,091.59",394.62,"3,214.40"
22/09/2022,Aadi Bioscience Inc,Healthcare,Biotechnology,United States,Investor Group,Financials,Other Financials,United States,6.55,-53.61,189.31,Business Services,Public,2022,28.91,-3.53,6.55,-53.61,189.31
29/09/2014,AAE Ahaus Alstaetter Eisenbahn Holding AG,Industrials,Transportation & Infrastructure,Switzerland,VTG AG,Industrials,Transportation & Infrastructure,Germany,162.98,122.23,350.59,Transportation and Shipping (except air),Private,2014,2.15,2.87,162.98,122.23,350.59
10/06/2024,Aalborg Boldspilklub A/S,Media and Entertainment,Recreation & Leisure,Denmark,Sport Strategy Excellence 22 GmbH & Co KG,Financials,Other Financials,Germany,10.98,-4.55,14.93,Amusement and Recreation Services,Public,2024,1.36,-3.28,10.98,-4.55,14.93
04/06/2024,AAON Inc,Industrials,Machinery,United States,AAON Inc,Industrials,Machinery,United States,"1,079.10",273.19,"5,544.91",Machinery,Public,2024,5.14,20.30,"1,079.10",273.19,"5,544.91"
15/06/2017,aap Implantate AG,Healthcare,Healthcare Equipment & Supplies,Germany,aap Implantate AG,Healthcare,Healthcare Equipment & Supplies,Germany,11.06,-7.15,20.00,"Measuring, Medical, Photo Equipment; Clocks",Public,2017,1.81,-2.80,11.06,-7.15,20.00
27/04/2015,AAR Corp,Industrials,Transportation & Infrastructure,United States,AAR Corp,Industrials,Transportation & Infrastructure,United States,"1,504.43",148.13,"1,699.81",Air Transportation and Shipping,Public,2015,1.13,11.48,"1,504.43",148.13,"1,699.81"
20/09/2023,Aareal Bank AG,Financials,Banks,Germany,Atlantic BidCo GmbH,Financials,Other Financials,Germany,"1,091.00",327.00,"4,982.26","Commercial Banks, Bank Holding Companies",Public,2023,4.57,15.24,"1,091.00",327.00,"4,982.26"
23/11/2021,Aareal Bank AG,Financials,Banks,Germany,Atlantic BidCo GmbH,Financials,Other Financials,Germany,871.00,216.00,"2,571.29","Commercial Banks, Bank Holding Companies",Public,2021,2.95,11.90,871.00,216.00,"2,571.29"
02/11/2015,Aaron Services Ltd,Industrials,Other Industrials,United Kingdom,Lakehouse PLC,Real Estate,Other Real Estate,United Kingdom,36.33,1.65,13.19,Metal and Metal Products,Private,2015,0.36,8.00,36.33,1.65,13.19
17/06/2024,Aaron's Co Inc,Consumer Products and Services,Other Consumer Products,United States,IQventures Corp LLC,Financials,Alternative Financial Investments,United States,"1,942.96",420.55,456.73,Business Services,Public,2024,0.24,1.09,"1,942.96",420.55,456.73
07/02/2014,Aaron's Inc,Consumer Products and Services,Other Consumer Products,United States,Vintage Capital Management LLC,Financials,Alternative Financial Investments,United States,"1,625.78",659.93,"1,576.47",Business Services,Public,2014,0.97,2.39,"1,625.78",659.93,"1,576.47"
30/03/2018,AAT Holding SA,Telecommunications,Telecommunications Equipment,Poland,Lock Syndication SCA,Financials,Other Financials,Luxembourg,46.44,8.37,71.15,Communications Equipment,Public,2018,1.53,8.50,46.44,8.37,71.15
23/03/2018,AAT Holding SA,Telecommunications,Telecommunications Equipment,Poland,AAT Holding SA,Telecommunications,Telecommunications Equipment,Poland,46.22,8.44,55.51,Communications Equipment,Public,2018,1.20,6.58,46.22,8.44,55.51
20/02/2018,AAT Holding SA,Telecommunications,Telecommunications Equipment,Poland,AAT Holding SA,Telecommunications,Telecommunications Equipment,Poland,46.22,8.44,56.56,Communications Equipment,Public,2018,1.22,6.70,46.22,8.44,56.56
21/05/2014,AB Amber Grid,Energy and Power,Oil & Gas,Lithuania,Epso-G UAB,Energy and Power,Power,Lithuania,4.32,2.74,147.63,"Electric, Gas, and Water Distribution",Public,2014,34.15,53.84,4.32,2.74,147.63
30/04/2014,AB Amber Grid,Energy and Power,Oil & Gas,Lithuania,Epso-G UAB,Energy and Power,Power,Lithuania,4.32,2.74,139.26,"Electric, Gas, and Water Distribution",Public,2014,32.21,50.79,4.32,2.74,139.26
22/06/2015,AB Geveko,Industrials,Transportation & Infrastructure,Sweden,Solix Group AB,Financials,Alternative Financial Investments,Sweden,104.32,6.15,50.99,Construction Firms,Public,2015,0.49,8.29,104.32,6.15,50.99
22/06/2015,AB Geveko,Industrials,Transportation & Infrastructure,Sweden,Solix Group AB,Financials,Alternative Financial Investments,Sweden,104.32,6.15,139.55,Construction Firms,Public,2015,1.34,22.68,104.32,6.15,139.55
21/05/2014,AB Lietuvos Dujos,Energy and Power,Oil & Gas,Lithuania,Lietuvos energija UAB,Energy and Power,Power,Lithuania,404.11,33.44,162.62,"Electric, Gas, and Water Distribution",Public,2014,0.40,4.86,404.11,33.44,162.62
30/04/2014,AB Lietuvos Dujos,Energy and Power,Oil & Gas,Lithuania,Lietuvos energija UAB,Energy and Power,Power,Lithuania,404.11,33.44,136.26,"Electric, Gas, and Water Distribution",Public,2014,0.34,4.07,404.11,33.44,136.26
09/09/2014,AB Lietuvos Dujos (NOW 2E8216),Energy and Power,Oil & Gas,Lithuania,Lietuvos energija UAB,Energy and Power,Power,Lithuania,404.11,33.44,162.84,"Electric, Gas, and Water Distribution",Public,2014,0.40,4.87,404.11,33.44,162.84
20/12/2018,AB SA,High Technology,Electronics,Poland,AB SA,High Technology,Electronics,Poland,"4,451.20",83.16,317.73,Wholesale Trade-Durable Goods,Public,2018,0.07,3.82,"4,451.20",83.16,317.73
28/03/2018,AB-Biotics SA,Healthcare,Biotechnology,Spain,Kaneka Europe Holding Co NV,Materials,Chemicals,Belgium,7.21,0.21,2.37,Drugs,Public,2018,0.33,11.16,7.21,0.21,2.37
09/07/2019,AB-Biotics SA,Healthcare,Biotechnology,Spain,Kaneka Europe Holding Co NV,Materials,Chemicals,Belgium,13.49,2.86,59.92,Drugs,Public,2019,4.44,20.95,13.49,2.86,59.92
23/03/2020,Abacus Health Products Inc,Consumer Products and Services,Other Consumer Products,Canada,Charlotte's Web Holdings Inc,Healthcare,Pharmaceuticals,United States,13.85,-15.33,13.38,Wholesale Trade-Nondurable Goods,Public,2020,0.97,-0.87,13.85,-15.33,13.38
19/06/2019,Abanka dd,Financials,Banks,Slovenia,Nova KBM dd,Financials,Banks,Slovenia,112.03,68.49,626.69,"Commercial Banks, Bank Holding Companies",Private,2019,5.59,9.15,112.03,68.49,626.69
18/03/2014,Abasic SL,Consumer Staples,Textiles & Apparel,Spain,Eurazeo Sa,Financials,Alternative Financial Investments,France,452.09,123.18,"2,841.60",Textile and Apparel Products,Private,2014,6.29,23.07,452.09,123.18,"2,841.60"
16/05/2018,Abaxis Inc,Healthcare,Healthcare Equipment & Supplies,United States,Zoetis Inc,Healthcare,Pharmaceuticals,United States,198.60,37.95,"1,466.67","Measuring, Medical, Photo Equipment; Clocks",Public,2018,7.38,38.65,198.60,37.95,"1,466.67"
24/03/2022,ABB Ltd,Energy and Power,Other Energy & Power,Switzerland,ABB Ltd,Energy and Power,Other Energy & Power,Switzerland,"25,465.28","4,097.46","52,902.05",Electronic and Electrical Equipment,Public,2022,2.08,12.91,"25,465.28","4,097.46","52,902.05"
10/12/2020,Abbey PLC,Industrials,Building/Construction & Engineering,Ireland,Gander Holdings PLC,Real Estate,Other Real Estate,United Kingdom,192.13,46.17,238.81,Construction Firms,Public,2020,1.24,5.17,192.13,46.17,238.81
15/01/2020,Abbey PLC,Industrials,Building/Construction & Engineering,Ireland,Gallagher Holdings Ltd,Financials,Other Financials,Cyprus,223.79,59.51,279.37,Construction Firms,Public,2020,1.25,4.69,223.79,59.51,279.37
20/01/2022,Abbi Sas,Retail,Other Retailing,France,Boiron SA,Healthcare,Pharmaceuticals,France,2.62,-0.54,3.17,Wholesale Trade-Durable Goods,Private,2022,1.21,-5.84,2.62,-0.54,3.17
26/04/2018,AbbVie Inc,Healthcare,Pharmaceuticals,United States,AbbVie Inc,Healthcare,Pharmaceuticals,United States,"24,033.69","10,506.42","158,147.80",Drugs,Public,2018,6.58,15.05,"24,033.69","10,506.42","158,147.80"
21/12/2018,ABC Data SA,High Technology,Computers & Peripherals,Poland,Investor Group,Financials,Other Financials,Poland,"1,041.73",4.71,31.73,Wholesale Trade-Durable Goods,Public,2018,0.03,6.74,"1,041.73",4.71,31.73
23/06/2014,ABC Data SA,High Technology,Computers & Peripherals,Poland,ABC Data SA,High Technology,Computers & Peripherals,Poland,280.62,3.05,166.19,Wholesale Trade-Durable Goods,Public,2014,0.59,54.40,280.62,3.05,166.19
13/09/2021,ABC Technologies Holdings Inc,Industrials,Automobiles & Components,Canada,Investor Group,Financials,Other Financials,Luxembourg,818.94,80.94,674.72,Metal and Metal Products,Public,2021,0.82,8.34,818.94,80.94,674.72
13/04/2021,ABC Technologies Holdings Inc,Industrials,Automobiles & Components,Canada,Apollo Global Management Inc,Financials,Alternative Financial Investments,United States,628.97,72.64,687.58,Metal and Metal Products,Public,2021,1.09,9.46,628.97,72.64,687.58
04/09/2023,ABC Technologies Holdings Inc,Industrials,Automobiles & Components,Canada,Investor Group,Financials,Other Financials,Luxembourg,"1,313.19",158.77,"1,214.39",Metal and Metal Products,Public,2023,0.92,7.65,"1,313.19",158.77,"1,214.39"
28/08/2023,Abcam PLC,Healthcare,Pharmaceuticals,United Kingdom,Danaher Corp,Industrials,Other Industrials,United States,442.14,119.59,"5,258.95",Drugs,Public,2023,11.89,43.98,442.14,119.59,"5,258.95"
12/03/2024,Abcourt Mines Inc,Materials,Metals & Mining,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,0.31,-6.66,17.00,Mining,Public,2024,54.15,-2.55,0.31,-6.66,17.00
13/06/2023,Abcourt Mines Inc,Materials,Metals & Mining,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,11.17,-0.53,11.00,Mining,Public,2023,0.99,-20.69,11.17,-0.53,11.00
05/07/2022,Abcourt Mines Inc,Materials,Metals & Mining,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,15.12,-1.47,20.79,Mining,Public,2022,1.38,-14.14,15.12,-1.47,20.79
29/03/2022,Abcourt Mines Inc,Materials,Metals & Mining,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,16.93,2.15,23.00,Mining,Public,2022,1.36,10.70,16.93,2.15,23.00
17/12/2015,Abengoa SA,Energy and Power,Alternative Energy Sources,Spain,Creditors,Financials,Other Financials,Spain,"1,510.05","-2,053.71","9,777.99","Electric, Gas, and Water Distribution",Public,2015,6.48,-4.76,"1,510.05","-2,053.71","9,777.99"
14/02/2017,Abenteuer Resources Corp,Energy and Power,Oil & Gas,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,0.17,-0.05,0.57,Oil and Gas; Petroleum Refining,Public,2017,3.42,-12.51,0.17,-0.05,0.57
17/02/2020,Abeo SA,Consumer Products and Services,Other Consumer Products,France,Olivier Esteves,Financials,Other Financials,France,242.31,19.19,250.72,Miscellaneous Manufacturing,Public,2020,1.03,13.07,242.31,19.19,250.72
19/02/2021,Abercrombie & Fitch Co,Retail,Apparel Retailing,United States,Abercrombie & Fitch Co,Retail,Apparel Retailing,United States,"2,575.29",217.65,726.71,Retail Trade-General Merchandise and Apparel,Public,2021,0.28,3.34,"2,575.29",217.65,726.71
04/03/2017,Aberdeen Asset Management PLC,Financials,Asset Management,United Kingdom,Standard Life PLC,Financials,Asset Management,United Kingdom,"1,189.67",398.56,"2,045.01",Investment & Commodity Firms/Dealers/Exchanges,Public,2017,1.72,5.13,"1,189.67",398.56,"2,045.01"
16/10/2014,"Aberdeen International Airport Ltd,Glasgow Airport Ltd, Southampton International Airport Ltd",Industrials,Transportation & Infrastructure,United Kingdom,Investor Group,Financials,Other Financials,Spain,86.22,41.93,"1,316.40",Air Transportation and Shipping,Private,2014,15.27,31.40,86.22,41.93,"1,316.40"
14/03/2018,Abertis Infraestructuras SA,Industrials,Transportation & Infrastructure,Spain,Abertis Infraestructuras SA SPV,Financials,Other Financials,Spain,"5,136.02","3,479.96","33,560.00",Transportation and Shipping (except air),Public,2018,6.53,9.64,"5,136.02","3,479.96","33,560.00"
18/10/2017,Abertis Infraestructuras SA,Industrials,Transportation & Infrastructure,Spain,Hochtief AG,Industrials,Building/Construction & Engineering,Germany,"5,332.24","3,586.28","34,385.85",Transportation and Shipping (except air),Public,2017,6.45,9.59,"5,332.24","3,586.28","34,385.85"
