M&A SDC Deal Number,Date Announced,Rank Date,"Rank Value inc. Net Debt of Target
(EUR, Millions)",Target Full Name,Target Macro Industry,Target Mid Industry,Target Nation,Acquiror Full Name,Acquiror Macro Industry,Acquiror Mid Industry,Acquiror Nation,"Target Financial Advisor Name
('|')","Acquiror Financial Advisor Name
('|')","Target Net Sales Last 12 Months
(EUR, Millions)","EBITDA Last 12 Months
(EUR, Millions)","Enterprise Value at Announcement
(EUR, Millions, '|')",Target Industry Sector,Target Public Status,,Year
4257679040,04/07/2024,04/07/2024,0.34,Bevcanna Enterprises Inc,Consumer Staples,Food and Beverage,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.14,-4.17,8.11,Food and Kindred Products,Public,,"2,024.00"
4257339020,03/07/2024,03/07/2024,1.32,Intermap Technologies Corp,Industrials,Building/Construction & Engineering,United States,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,5.47,-2.11,10.43,Business Services,Public,,"2,024.00"
4257394040,01/07/2024,01/07/2024,3.19,Motkraft Gruppen AS,Energy and Power,Power,Norway,Skandia GreenPower AS,Energy and Power,Power,Norway,,,56.77,-1.49,2.41,"Electric, Gas, and Water Distribution",Private,,"2,024.00"
4255786040,28/06/2024,28/06/2024,1.40,Fobi AI Inc,High Technology,Software,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,1.33,-4.60,19.96,Prepackaged Software,Public,,"2,024.00"
4256716040,28/06/2024,28/06/2024,1.50,Permatech Srl,Industrials,Building/Construction & Engineering,Italy,Espe SpA,Energy and Power,Power,Italy,,,2.13,0.59,1.28,Construction Firms,Private,,"2,024.00"
4257095040,28/06/2024,28/06/2024,3.00,Reallife Television SpA,Media and Entertainment,Motion Pictures / Audio Visual,Italy,Id-Entity SA,Media and Entertainment,Motion Pictures / Audio Visual,Switzerland,,,4.52,0.61,4.84,Motion Picture Production and Distribution,Private,,"2,024.00"
4255207040,27/06/2024,27/06/2024,2.40,Eps Energy.Pro.System Srl,Industrials,Building/Construction & Engineering,Italy,Smit Srl,Industrials,Building/Construction & Engineering,Italy,,,4.24,0.61,0.25,Construction Firms,Private,,"2,024.00"
4254140020,26/06/2024,26/06/2024,7.53,Agile Therapeutics Inc,Healthcare,Pharmaceuticals,United States,Exeltis Project Inc,Financials,Other Financials,United States,HC Wainwright & Co Inc,,19.92,-14.40,7.31,Drugs,Public,,"2,024.00"
4254444040,26/06/2024,26/06/2024,1.62,Smart Visual Data SL,High Technology,Computers & Peripherals,Spain,Llorente & Cuenca SL,Consumer Products and Services,Professional Services,Spain,,,2.16,0.41,3.32,Business Services,Private,,"2,024.00"
4255447040,26/06/2024,26/06/2024,8.50,Imille Srl,Consumer Products and Services,Professional Services,Italy,Txt E-Solutions SpA,High Technology,Software,Italy,,,7.83,0.99,8.78,Business Services,Private,,"2,024.00"
4253715040,25/06/2024,25/06/2024,0.16,Argo Gold Inc,Materials,Metals & Mining,Canada,Argo Gold Inc,Materials,Metals & Mining,Canada,,,1.00,0.40,3.89,Mining,Public,,"2,024.00"
4252287040,21/06/2024,21/06/2024,0.66,AI/ML Innovations Inc,High Technology,IT Consulting & Services,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.28,-0.95,2.40,Business Services,Public,,"2,024.00"
4252299040,21/06/2024,21/06/2024,1.37,Inverite Insights Inc,High Technology,IT Consulting & Services,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.76,-2.28,7.81,Business Services,Public,,"2,024.00"
4252620040,20/06/2024,20/06/2024,3.70,Kalibo Correduria de Seguros SL,Financials,Insurance,Spain,Yolo Group SpA,High Technology,E-commerce / B2B,Italy,,,2.65,0.12,1.98,Insurance,Private,,"2,024.00"
4250473040,19/06/2024,19/06/2024,0.53,Nexera Energy Inc,Energy and Power,Oil & Gas,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,1.19,-1.06,8.59,Oil and Gas; Petroleum Refining,Public,,"2,024.00"
4249704040,18/06/2024,18/06/2024,0.68,BEACN Wizardry & Magic Inc,High Technology,Software,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,2.28,-1.27,6.59,Prepackaged Software,Public,,"2,024.00"
4248820040,17/06/2024,17/06/2024,0.22,Sparton Resources Inc,Materials,Metals & Mining,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.65,-0.36,5.58,Mining,Public,,"2,024.00"
4252695040,17/06/2024,17/06/2024,0.43,Ackroo Inc,High Technology,Software,Canada,Ackroo Inc,High Technology,Software,Canada,,,4.59,1.00,11.59,Prepackaged Software,Public,,"2,024.00"
4253122040,17/06/2024,17/06/2024,10.60,Workinvoice Srl,Consumer Products and Services,Professional Services,Italy,GeneralFinance SpA,Financials,Asset Management,Italy,,KPMG Corporate Finance|Ceresio Sim SpA,1.94,0.50,10.60,Business Services,Private,,"2,024.00"
4254381040,14/06/2024,14/06/2024,1.63,Avila Energy Corp,Energy and Power,Oil & Gas,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,2.50,-0.78,8.83,Oil and Gas; Petroleum Refining,Public,,"2,024.00"
4247086040,13/06/2024,13/06/2024,1.01,Datametrex AI Ltd,High Technology,IT Consulting & Services,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,6.60,-8.26,7.86,Business Services,Public,,"2,024.00"
4246219040,11/06/2024,11/06/2024,0.14,Nextbike Polska SA,Media and Entertainment,Recreation & Leisure,Poland,Tier Mobility GmbH,High Technology,Software,Germany,,,12.46,1.91,9.46,Amusement and Recreation Services,Public,,"2,024.00"
4250704040,11/06/2024,11/06/2024,0.12,C 41 Srl,Media and Entertainment,Publishing,Italy,Id-Entity SA,Media and Entertainment,Motion Pictures / Audio Visual,Switzerland,,,4.40,0.16,0.66,"Printing, Publishing, and Allied Services",Private,,"2,024.00"
4252684040,11/06/2024,11/06/2024,2.20,Adymus Energy SL,Energy and Power,Alternative Energy Sources,Spain,Alcosmik SLU,Real Estate,REITs,Spain,,,3.57,0.28,11.66,"Electric, Gas, and Water Distribution",Private,,"2,024.00"
4246403040,10/06/2024,10/06/2024,1.68,Tribe Property Technologies Inc,High Technology,IT Consulting & Services,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,13.74,-4.37,13.41,Business Services,Public,,"2,024.00"
4262567040,10/06/2024,18/06/2024,0.44,Aalborg Boldspilklub A/S,Media and Entertainment,Recreation & Leisure,Denmark,Sport Strategy Excellence 22 GmbH & Co KG,Financials,Other Financials,Germany,,,10.98,-4.55,14.93,Amusement and Recreation Services,Public,,"2,024.00"
4244698040,07/06/2024,07/06/2024,1.21,1933 Industries Inc,Consumer Staples,Agriculture & Livestock,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,13.65,-3.34,15.96,"Agriculture, Forestry, and Fishing",Public,,"2,024.00"
4245428040,07/06/2024,07/06/2024,1.34,Principal Technologies Inc,Consumer Products and Services,Professional Services,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.42,-1.16,3.80,Aerospace and Aircraft,Public,,"2,024.00"
4255586020,06/06/2024,06/06/2024,0.73,BT Brands Inc,Retail,Food & Beverage Retailing,United States,BT Brands Inc,Retail,Food & Beverage Retailing,United States,,,13.15,-0.79,3.82,Retail Trade-Eating and Drinking Places,Public,,"2,024.00"
4243065040,05/06/2024,05/06/2024,0.67,Scryb Inc,Healthcare,Healthcare Equipment & Supplies,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,1.25,-8.24,5.32,"Measuring, Medical, Photo Equipment; Clocks",Public,,"2,024.00"
4243182040,05/06/2024,05/06/2024,1.14,Stakeholder Gold Corp,Materials,Metals & Mining,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.76,-1.17,10.50,Mining,Public,,"2,024.00"
4246425040,05/06/2024,05/06/2024,2.46,Tribe Property Technologies Inc,High Technology,IT Consulting & Services,Canada,Investor Group,Financials,Other Financials,Canada,,,13.74,-4.37,13.35,Business Services,Public,,"2,024.00"
4247197040,05/06/2024,05/06/2024,11.95,GRC International Group PLC,Consumer Products and Services,Professional Services,United Kingdom,Bloom Seed Bidco Ltd,Financials,Other Financials,United Kingdom,Dowgate Capital PLC|Singer Capital Markets Ltd|Wyvern Partners,Cavendish Corporate Finance,17.25,0.16,11.99,Business Services,Public,,"2,024.00"
4242505040,04/06/2024,04/06/2024,11.01,Crimson Tide PLC,Telecommunications,Telecommunications Services,United Kingdom,Checkit PLC,Energy and Power,Other Energy & Power,United Kingdom,,Singer Capital Markets Ltd,7.10,0.46,11.00,Telecommunications,Public,,"2,024.00"
4242377020,31/05/2024,31/05/2024,4.12,Strong Global Entertainment Inc,High Technology,Electronics,United States,Strong/MDI Screen Systems Inc,Industrials,Aerospace & Defense,Canada,Intrinsic LLC,,40.52,0.42,13.41,Wholesale Trade-Durable Goods,Public,,"2,024.00"
4240940040,30/05/2024,30/05/2024,0.48,Turnium Technology Group Inc,Financials,Other Financials,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,3.69,-1.84,6.49,Prepackaged Software,Public,,"2,024.00"
4244972040,30/05/2024,30/05/2024,17.12,Umbria Verde Mattioli Srl,Consumer Staples,Textiles & Apparel,Italy,Societa Manifattura Tessile Srl,Materials,Chemicals,Italy,Scouting SpA,IMI - Intesa Sanpaolo,9.96,2.35,17.12,Textile and Apparel Products,Private,,"2,024.00"
4250780040,28/05/2024,28/05/2024,7.24,Polwax SA,Energy and Power,Petrochemicals,Poland,Mostostal Zabrze SA,Industrials,Building/Construction & Engineering,Poland,,,56.58,-2.03,13.83,Oil and Gas; Petroleum Refining,Public,,"2,024.00"
4239666040,27/05/2024,27/05/2024,0.34,Current Water Technologies Inc,Energy and Power,Water and Waste Management,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,1.29,0.34,4.51,Sanitary Services,Public,,"2,024.00"
4247486040,27/05/2024,27/05/2024,1.02,Teknoema Srl,High Technology,Semiconductors,Italy,iVision Tech SpA,Healthcare,Healthcare Equipment & Supplies,Italy,,,4.85,0.51,3.98,Electronic and Electrical Equipment,Private,,"2,024.00"
4239179040,24/05/2024,24/05/2024,0.24,Trans Canada Gold Corp,Energy and Power,Oil & Gas,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.30,0.03,1.44,Oil and Gas; Petroleum Refining,Public,,"2,024.00"
4245644040,24/05/2024,24/05/2024,1.18,Promino Nutritional Sciences Inc,Healthcare,Pharmaceuticals,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.29,-4.27,9.10,Drugs,Public,,"2,024.00"
4238340040,23/05/2024,23/05/2024,0.39,CubicFarm Systems Corp,Industrials,Machinery,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,2.80,-14.05,15.39,Wholesale Trade-Durable Goods,Public,,"2,024.00"
4238354040,23/05/2024,23/05/2024,9.62,Chromogenics AB,Materials,Construction Materials,Sweden,Farna Invest AB,Financials,Other Financials,Sweden,,Carnegie Investment Bank AB,0.93,-3.93,11.32,"Stone, Clay, Glass, and Concrete Products",Public,,"2,024.00"
4234427040,14/05/2024,14/05/2024,0.07,Ciscom Corp,High Technology,IT Consulting & Services,Canada,DLT Resolution Inc,High Technology,IT Consulting & Services,United States,,,24.14,0.57,3.88,Business Services,Public,,"2,024.00"
4267283040,14/05/2024,14/05/2024,0.47,Solar Alliance Energy Inc,Energy and Power,Alternative Energy Sources,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,5.59,-0.41,9.51,"Electric, Gas, and Water Distribution",Public,,"2,024.00"
4237146040,13/05/2024,13/05/2024,0.68,Sparta Capital Ltd,Energy and Power,Other Energy & Power,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,6.44,0.55,4.54,Electronic and Electrical Equipment,Public,,"2,024.00"
4237410040,13/05/2024,13/05/2024,4.35,SAIEP Srl,Industrials,Other Industrials,Italy,RedFish Longterm Capital SpA,Financials,Alternative Financial Investments,Italy,Baker Tilly & Co,,13.40,0.25,4.28,Electronic and Electrical Equipment,Private,,"2,024.00"
4245292040,13/05/2024,13/05/2024,0.34,Starcore International Mines Ltd,Materials,Metals & Mining,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,19.28,0.42,4.36,Mining,Public,,"2,024.00"
4233524040,10/05/2024,10/05/2024,0.99,Prymus SA,Materials,Chemicals,Poland,Prymus SA,Materials,Chemicals,Poland,,Beskidzki Dom Marklerski {BDM},11.56,1.99,10.10,Wholesale Trade-Nondurable Goods,Public,,"2,024.00"
4236368040,10/05/2024,10/05/2024,0.74,Syncrogest Srl,High Technology,Software,Italy,Tweppy SpA,High Technology,Software,Italy,,,0.26,0.07,0.62,Prepackaged Software,Private,,"2,024.00"
4236379040,10/05/2024,10/05/2024,0.50,Six Consulting Srl,Consumer Products and Services,Professional Services,Italy,Spindox SpA,High Technology,Software,Italy,,,1.94,0.54,0.89,Business Services,Private,,"2,024.00"
4250645040,10/05/2024,10/05/2024,0.20,Marksmen Energy Inc,Energy and Power,Oil & Gas,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.39,-0.42,2.16,Oil and Gas; Petroleum Refining,Public,,"2,024.00"
4235738040,07/05/2024,07/05/2024,0.70,Duepigreco 3d Srl,Industrials,Machinery,Italy,Solid World Group SpA,High Technology,Software,Italy,,,0.88,0.06,0.69,Machinery,Private,,"2,024.00"
4231039040,06/05/2024,06/05/2024,0.68,RevoluGROUP Canada Inc,High Technology,Software,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.34,-2.35,7.45,Prepackaged Software,Public,,"2,024.00"
4230540040,04/05/2024,04/05/2024,0.60,Bevcanna Enterprises Inc,Consumer Staples,Food and Beverage,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.14,-4.17,8.90,Food and Kindred Products,Public,,"2,024.00"
4229670040,01/05/2024,01/05/2024,0.37,MedX Health Corp,Healthcare,Healthcare Equipment & Supplies,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.35,-2.02,16.69,"Measuring, Medical, Photo Equipment; Clocks",Public,,"2,024.00"
4229496040,25/04/2024,25/04/2024,0.12,Quizam Media Corp,Consumer Products and Services,Educational Services,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,4.86,-0.36,1.99,Educational Services,Public,,"2,024.00"
4226721040,24/04/2024,24/04/2024,0.21,Marksmen Energy Inc,Energy and Power,Oil & Gas,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.39,-0.42,2.83,Oil and Gas; Petroleum Refining,Public,,"2,024.00"
4225622040,22/04/2024,22/04/2024,0.24,Universal Ibogaine Inc,Healthcare,Hospitals,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,1.53,-0.33,4.66,Health Services,Public,,"2,024.00"
4225698040,22/04/2024,22/04/2024,0.51,Aion Therapeutic Inc,Healthcare,Pharmaceuticals,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.15,-0.57,5.39,Drugs,Public,,"2,024.00"
4226300040,22/04/2024,22/04/2024,0.14,West Island Brands Inc,Healthcare,Pharmaceuticals,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,3.30,-3.26,1.37,Drugs,Public,,"2,024.00"
4226462020,22/04/2024,22/04/2024,2.47,Intrusion Inc,High Technology,IT Consulting & Services,United States,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,5.03,-8.12,14.04,Business Services,Public,,"2,024.00"
4225391040,18/04/2024,18/04/2024,3.10,Ilpra System Espana SL,Industrials,Machinery,Spain,Ilpra SpA,Industrials,Machinery,Italy,,,3.54,1.54,3.76,Machinery,Private,,"2,024.00"
4223310040,17/04/2024,17/04/2024,1.02,Hybrid Power Solutions Inc,Energy and Power,Other Energy & Power,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,1.57,-4.24,15.27,Electronic and Electrical Equipment,Public,,"2,024.00"
4224326040,17/04/2024,17/04/2024,0.34,Frequency Exchange Corp,Financials,Other Financials,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.51,-1.03,4.63,Insurance,Public,,"2,024.00"
4223975040,15/04/2024,15/04/2024,4.39,SHS Viveon AG,High Technology,Software,Germany,Sidetrade SA,High Technology,Software,France,,ODDO BHF AG,8.85,0.04,5.50,Prepackaged Software,Public,,"2,024.00"
4223997040,15/04/2024,15/04/2024,3.09,SHS Viveon AG,High Technology,Software,Germany,Sidetrade SA,High Technology,Software,France,,ODDO BHF AG,8.85,0.04,5.50,Prepackaged Software,Public,,"2,024.00"
4244313040,15/04/2024,15/05/2024,0.04,Snaige AB,Consumer Staples,Household & Personal Products,Lithuania,EDS Invest 3,Consumer Products and Services,Professional Services,Lithuania,,,15.70,-0.56,14.71,Electronic and Electrical Equipment,Public,,"2,024.00"
4222101040,12/04/2024,12/04/2024,0.18,Universal Ibogaine Inc,Healthcare,Hospitals,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,1.53,-0.33,4.85,Health Services,Public,,"2,024.00"
4223565040,11/04/2024,11/04/2024,1.05,Vergottini Srl,Industrials,Building/Construction & Engineering,Italy,Lindbergh SpA,Energy and Power,Water and Waste Management,Italy,,,3.03,0.17,0.74,Construction Firms,Private,,"2,024.00"
4229105040,11/04/2024,11/04/2024,0.68,Plurilock Security Inc,High Technology,IT Consulting & Services,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,45.33,-4.26,18.89,Business Services,Public,,"2,024.00"
4221981040,10/04/2024,10/04/2024,2.02,Connetical Srl,Telecommunications,Wireless,Italy,PLANETEL SpA,Telecommunications,Telecommunications Services,Italy,,,1.35,0.15,2.02,Telecommunications,Private,,"2,024.00"
4220551020,09/04/2024,09/04/2024,18.37,Inrad Optics Inc,Industrials,Machinery,United States,Luxium Solutions Inc,Industrials,Other Industrials,United States,Needham & Co LLC,CriticalPoint Partners LLC,12.04,1.90,18.38,Electronic and Electrical Equipment,Public,,"2,024.00"
4220552040,09/04/2024,09/04/2024,1.02,Core One Labs Inc,Healthcare,Pharmaceuticals,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.37,-5.98,4.66,Drugs,Public,,"2,024.00"
4221429040,09/04/2024,09/04/2024,1.59,Airsafe Sweden AB,Industrials,Aerospace & Defense,Sweden,Scandinavian Astor Group AB,Industrials,Aerospace & Defense,Sweden,,,2.97,0.50,1.59,Aerospace and Aircraft,Private,,"2,024.00"
4219936040,08/04/2024,08/04/2024,1.90,Cloud DX Inc,Healthcare,Healthcare Equipment & Supplies,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,1.33,-4.23,18.60,"Measuring, Medical, Photo Equipment; Clocks",Public,,"2,024.00"
4218892040,05/04/2024,05/04/2024,0.86,ZTEST Electronics Inc,High Technology,Electronics,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,6.00,1.37,4.70,Electronic and Electrical Equipment,Public,,"2,024.00"
4219533040,05/04/2024,05/04/2024,0.27,The BC Bud Corp,Healthcare,Pharmaceuticals,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.50,-0.59,0.89,Drugs,Public,,"2,024.00"
4251792040,04/04/2024,04/04/2024,1.50,PowerBand Solutions Inc,High Technology,Software,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,1.82,-5.23,5.17,Prepackaged Software,Public,,"2,024.00"
4218455040,03/04/2024,03/04/2024,1.69,Kenorland Minerals Ltd,Materials,Metals & Mining,Canada,Kenorland Minerals Ltd,Materials,Metals & Mining,Canada,,,1.79,-1.66,17.95,Mining,Public,,"2,024.00"
4221664040,03/04/2024,03/04/2024,3.08,Plurilock Security Inc,High Technology,IT Consulting & Services,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,45.33,-4.26,17.17,Business Services,Public,,"2,024.00"
4217791040,02/04/2024,02/04/2024,5.49,Planting Hope Co Inc,Consumer Staples,Food and Beverage,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,6.87,-10.40,11.18,Food and Kindred Products,Public,,"2,024.00"
4217967040,02/04/2024,02/04/2024,6.54,Appili Therapeutics Inc,Healthcare,Biotechnology,Canada,Adivir Inc,Healthcare,Biotechnology,United States,Bloom Burton & Co|BDO Canada LLP,,0.57,-5.50,6.54,Business Services,Public,,"2,024.00"
4218475040,02/04/2024,02/04/2024,3.47,Lunghezza D'Onda Srl,High Technology,IT Consulting & Services,Italy,Websolute SpA,High Technology,IT Consulting & Services,Italy,,,0.94,0.59,4.47,Business Services,Private,,"2,024.00"
4217887040,01/04/2024,01/04/2024,1.03,Scryb Inc,Healthcare,Healthcare Equipment & Supplies,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,1.25,-8.24,5.43,"Measuring, Medical, Photo Equipment; Clocks",Public,,"2,024.00"
4218038040,28/03/2024,28/03/2024,0.20,ApartmentLove Inc,Media and Entertainment,Publishing,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.46,-1.37,3.68,"Printing, Publishing, and Allied Services",Public,,"2,024.00"
4222395040,28/03/2024,28/03/2024,4.50,Enerfip SAS,Financials,Asset Management,France,Investors,Financials,Other Financials,France,,,3.03,0.73,4.08,Investment & Commodity Firms/Dealers/Exchanges,Private,,"2,024.00"
4215018040,27/03/2024,27/03/2024,0.34,Plantify Foods Inc,Consumer Staples,Food and Beverage,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.55,-1.79,4.46,Food and Kindred Products,Public,,"2,024.00"
4213532040,25/03/2024,25/03/2024,4.08,Rapid Dose Therapeutics Corp,Consumer Products and Services,Other Consumer Products,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.70,-1.68,13.54,Wholesale Trade-Nondurable Goods,Public,,"2,024.00"
4216482040,25/03/2024,25/03/2024,2.80,Why IT Solutions AB,Consumer Products and Services,Professional Services,Sweden,Nethouse Sverige AB,Consumer Products and Services,Professional Services,Sweden,Lars Weibull AB,,4.97,0.48,2.30,Business Services,Private,,"2,024.00"
4213379040,22/03/2024,22/03/2024,1.99,QSi Sweden AB,High Technology,Computers & Peripherals,Sweden,Infracom Group AB,High Technology,Computers & Peripherals,Sweden,,,3.10,0.26,1.62,Wholesale Trade-Durable Goods,Private,,"2,024.00"
4212741040,21/03/2024,21/03/2024,2.35,Neptune Digital Assets Corp,High Technology,Software,Canada,Neptune Digital Assets Corp,High Technology,Software,Canada,,,1.52,-1.11,19.51,Prepackaged Software,Public,,"2,024.00"
4211543040,20/03/2024,20/03/2024,0.68,Herbal Dispatch Inc,Consumer Staples,Agriculture & Livestock,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,3.25,-0.89,3.45,"Agriculture, Forestry, and Fishing",Public,,"2,024.00"
